ft tries hits ident
0.28 45198 45183 data2018
0.97 183020 182899 data2018
1.93 169503 168594 data2018
2.92 113094 108953 data2018
3.93 73855 64740 data2018
4.94 53659 41106 data2018
5.94 42991 28205 data2018
6.95 37050 21334 data2018
7.95 33275 16615 data2018
8.95 30836 13503 data2018
9.95 28637 11060 data2018
10.95 26239 9032 data2018
11.95 24636 7687 data2018
12.95 22876 6432 data2018
14.43 41267 9813 data2018
16.43 35712 7196 data2018
18.44 31573 5290 data2018
20.44 28280 4086 data2018
21.95 13238 1642 data2018
24.39 46570 4767 data2018
28.4 38422 2980 data2018
32.39 31641 1996 data2018
36.39 25604 1327 data2018
40.37 20366 834 data2018
44.38 15977 559 data2018
48.37 11770 311 data2018
52.36 8708 231 data2018
57.25 8878 204 data2018
63.23 5492 103 data2018
69.18 3087 35 data2018
75.19 1742 24 data2018
